english,darija,darija_ar
What would I do without a sympathetic ear when I get home,chno ghadi ndir bla wdan mat3atfa mnin nrja3 ldar,شنو غادي ندير بلا ودان ماتعاتفا منين نرجاع لدار 
"Hi, this is my first time flying and I have to admit that I'm a bit nervous","ahlan, hadi lmrra lawla likansafar fiha bTayara o khasni n3tarf bila matwatar chwiya","أهلان, هادي لمرّا لاولا ليكانسافار فيها بطايارا أُ خاسني نعتارف بيلا ماتواتار شوييا "
Have you flown before?,wach safarti fsma mn 9bal,واش سافارتي فسما من قبال 
Yes,ah,أه 
I take it very often!,kanakhod8a bzaf tlmrrat,كاناخودها بزاف تلمرّات 
Almost every week for my work,ta9riban kol simana lkhadma dyali,تاقريبان كول سيمانا لخادما ديالي 
"You'll see, the journey will go well, I'm sure!","ghadi tchof, ghadi doz ri7la 3la khir, ana mat2akad","غادي تشوف, غادي دوز ريحلا علا خير, أنا ماتأكاد "
I'm quite scared in fact,ana khayf chwia sara7a,أنا خايف شويا ساراحا 
What is that strange noise and shaking?,ach had sda3 o irti3ach lgharib?,أش هاد سداع أُ إرتيعاش لغاريب? 
It's perfectly normal,rah Tabi3i tamaman,راه طابيعي تامامان 
"I was very scared, too, when I started getting on the plane ten years ago",knt khayf bzaf ta ana mnin bdit kanrkab Tayara 9bal 3chr snin,كنت خايف بزاف تا أنا منين بديت كانركاب طايارا قبال عشر سنين 
And I even trained to learn how to not be afraid of flying!,7ta tdarabt 3la kifach mankhafch mn Tayaran,حتا تدارابت علا كيفاش مانخافش من طاياران 
that's reassuring,hadchi kayTam2an,هادشي كايطامأن 
Maybe I should order a drink,imkan khasni nTlab machrob,إمكان خاسني نطلاب ماشروب 
Would you like one?,bghiti wa7da?,بغيتي واحدا? 
It's a good idea to relax!,fikra mzyana annak tarkha,فيكرا مزيانا أنّاك تارخا 
But I'll have a coffee instead,walakin ghadi nakhod 9ahwa blastha,والاكين غادي ناخود قاهوا بلاستها 
I got up a little early to get on the plane,a9t bkri chwiya bach nrkab Tayara,أقت بكري شوييا باش نركاب طايارا 
I need that coffee to wake me up a bit!,khssni dik l9ahwa bach nfi9 chwiya,خسّني ديك لقاهوا باش نفيق شوييا 
I'll grab the stewardess when she passes,ghadi ngolha lmoDifa mnin douz,غادي نڭولها لموضيفا منين دوز 
Would you like anything to eat with your coffee?,bghiti takol chi 7aja m3a l9ahwa dyalk,بغيتي تاكول شي حاجا معا لقاهوا ديالك 
I could eat a croissant with coffee,n9dar nakol crwasa m3a l9ahwa,نقدار ناكول كرواسا معا لقاهوا 
"Good idea, I'll get one too","fikra mzyana, ghadi nakhod 7ta ana wa7da","فيكرا مزيانا, غادي ناخود حتا أنا واحدا "
I usually only eat croissant on special occasions,ana asasan kanakol karwasa flmonasabt lkhasa safi,أنا أساسان كاناكول كارواسا فلموناسابت لخاسا سافي 
I'm a chocolatier,ana kansayab choklat,أنا كانساياب شوكلات 
Flying for the first time is a bit of a special occasion,Tayaran l2awal mra rah monasaba khaSSa,طاياران لأوال مرا راه موناسابا خاصّا 
Oh wow!,"oh, waw","أُه, واو "
What a dream job,ay 3la khdma dyal l2a7lam,أي علا خدما ديال لأحلام 
"But since I'm a bit greedy, I tend to eat croissants often!","walakin 7it ana Tmma3 chwiya, rah kanmil nakol karawasa bzaf","والاكين حيت أنا طمّاع شوييا, راه كانميل ناكول كاراواسا بزاف "
"Yes, it's a fantastic job!","ah, rah waDifa zwina","أه, راه واضيفا زوينا "
Which chocolate company do you work for?,achmn chrika dyal choklat fach khdam,أشمن شريكا ديال شوكلات فاش خدام 
"I'm an auto contractor, and I'm working on my account.","ana mo9awil dati, o kankhdam lrasi","أنا موقاويل داتي, أُ كانخدام لراسي "
"I'm not sure what that means, but you are definitely someone to stay in touch with!!","mamt2akd ach kay3ni dakchi, walakin nta bta2kid chi 7ad t9dar tb9a 3la itisal m3ah","مامتأكد أش كايعني داكشي, والاكين نتا بتاءكيد شي حاد تقدار تبقا علا إتيسال معاه "
I adore chocolate,kan3cha9 choklat,كانعشاق شوكلات 
"Ah, the order of eight has arrived","ah, rah wsalt ltartib tmanya","أه, راه وسالت لتارتيب تمانيا "
"You remember the recipe, don't you?","kat39al 3la lwaSfa, yak?","كاتعقال علا لواصفا, ياك? "
Oh dear!,3azizi,عازيزي 
I'm not sure I remember it,mamt2akdach bila 3a9la 3liha,مامتأكداش بيلا عاقلا عليها 
You will need to refresh my memory,ghadi ta7taj tfakarni,غادي تاحتاج تفاكارني 
It's very simple,rah sa8la bzaf,راه ساهلا بزاف 
Take a melon,khod mnouna,خود منونا 
cut it in two,9TTa3ha 3la jouj,قطّاعها علا جوج 
remove the seeds,7iyyed zrri3a,حييّد زرّيعا 
get a spoon,jib m3il9a,جيب معيلقا 
Put the flesh in the blender,dir lob f lkhlaT,دير لوب ف لخلاط 
Then what do you put in the blender?,o mn b3d achno kadir flkhallaT?,أُ من بعد أشنو كادير فلخالّاط? 
I put in some lemon juice and a little water,kandir chwya dyal 3aSir limon o chwiya dyal lma,كاندير شويا ديال عاصير ليمون أُ شوييا ديال لما 
Is that right?,wach hadchi li kayn,واش هادشي لي كاين 
More mint leaves,lmazid mn lwra9 dyal na3na3,لمازيد من لوراق ديال ناعناع 
I forgot about the mint leaves.,nsit lwra9 dyal na3na3,نسيت لوراق ديال ناعناع 
I need to be careful not to add too many though,khasni nrad lbal bach manzidch bzaf,خاسني نراد لبال باش مانزيدش بزاف 
All you have to do is train,lhaja lwa7ida li khasak hia tadrib,لهاجا لواحيدا لي خاساك هيا تادريب 
What do you say?,ach katgol?,أش كاتڭول? 
That looks perfect,hadchi kayban mitali,هادشي كايبان ميتالي 
Should I garnish it with anything else?,wach khas tzayanha bchi 7aja khra?,واش خاس تزايانها بشي حاجا خرا? 
"No, no, it's no use","la, la, makaynch lach","لا, لا, ماكاينش لاش "
"It's good like this, light, fresh!","rah zwin b7al hakka, khfif, o Tayab","راه زوين بحال هاكّا, خفيف, أُ طاياب "
Send it to the gym,siftha l la salle,سيفتها ل لا سالّ 
Next order,Talab ttani,طالاب التاني 
That's easy!,hada sa8l,هادا ساهل 
Do you want me to let you do it?,wach bghiti nkhalik dirha?,واش بغيتي نخاليك ديرها? 
I can do that easily,na9dar n7ayad hadchi bzarba,ناقدار نحاياد هادشي بزاربا 
I didn't quite understand that question,mafhamch had so2al mzyan,مافهامش هاد سوأل مزيان 
What do you mean by toppings?,ach kat9sad b toppings,أش كاتقساد ب توپّينڭس 
"Presentation is important, isn't it?","l3ard mohim, kayna?","لعارد موهيم, كاينا? "
"Yeah, that's a great idea","ah, fikra zwina","أه, فيكرا زوينا "
Do it and send it to the gym,dirha o siftha l la salle,ديرها أُ سيفتها ل لا سالّ 
I'm afraid that's the end of my shift now,khayf tkon hadi hiya nihaya dyal nobti daba,خايف تكون هادي هييا نيهايا ديال نوبتي دابا 
Good night,masa2 lkhir,ماساء لخير 
I've learned a lot from you this evening,ta3almt mnk bzaf had l3chiya,تاعالمت منك بزاف هاد لعشييا 
"Welcome back, and see you tomorrow!","marhaba brjo3 dyalk, nchofk ghda","مارهابا برجوع ديالك, نشوفك غدا "
"Hi, I'm having coffee with an orange juice, please.",ahlan bghit l9ahwa m3a 3asir limon 3afak,أهلان بغيت لقاهوا معا عاسير ليمون عافاك 
would you like milk with your coffee and ice in your orange juice?,wach bghiti l7lib m3a l9ahwa o talj m3a limon?,واش بغيتي لحليب معا لقاهوا أُ تالج معا ليمون? 
No thanks no milk in my coffee and no ice in the orange juice.,"la chokran, la 7lib fl9ahwa la talj fl3aSir","لا شوكران, لا حليب فلقاهوا لا تالج فلعاصير "
Here you are,hanta,هانتا 
Would you like to order any food?,wach bghiti Tlab chi makla?,واش بغيتي طلاب شي ماكلا? 
Our special dish today is chicken,Taba9 dyalna lmomayaz lioma howa djaj,طاباق ديالنا لموماياز ليوما هووا دجاج 
"No, thank you",la chokran,لا شوكران 
Just coffee,ghir l9ahwa,غير لقاهوا 
Chicken pie?,faTira dyal djaj,فاطيرا ديال دجاج 
It's very original,rah aSli bzaf,راه أصلي بزاف 
You can always change your mind!,dima ta9dar tbadal ra2yak,ديما تاقدار تبادال راإياك 
Is that your dog that's just wandered in over there?,wach hada kalbak likaydor tma?,واش هادا كالباك ليكايدور تما? 
It seems to be looking for someone,ban liya kay9alab 3la chi 7ad,بان لييا كايقالاب علا شي حاد 
Cream chicken?,djaj blkrima?,دجاج بلكريما? 
Amazing!,modhich,مودهيش 
"If it is yours, I'm afraid we don't allow dogs in our bar for hygiene reasons","ila kan dyalk, rah makansma7och blklab 7na f l7ana l2asbab dyal naDafa","إلا كان ديالك, راه ماكانسماحوش بلكلاب حنا ف لحانا لأسباب ديال ناضافا "
"Sorry, but the dog in question is not mine!","sma7 liya, walakin dak lkalb machi dyali","سماح لييا, والاكين داك لكالب ماشي ديالي "
"Hhmmmn, hold on while I put it outside","hmmm, tsana 7ta nkharjo brra","همّم, تسانا حتا نخارجو برّا "
"Poor thing, it's raining too and looks hungry","maskin, rah kati7 chta o ban liya ji3an","ماسكين, راه كاتيح شتا أُ بان لييا جيعان "
I don't mind having a dog with us,machi mochkil ykon m3ana kalb,ماشي موشكيل يكون معانا كالب 
He's probably better off with us than outside,imkan 7san ykon m3ana 3la bra,إمكان حسان يكون معانا علا برا 
Are you enjoying your coffee,wach katmata3 b9ahwtak?,واش كاتماتاع بقاهوتاك? 
You think your dog will like chicken pie?,wach kadan kalbak ghadi yabghi faTira dyal djaj?,واش كادان كالباك غادي يابغي فاطيرا ديال دجاج? 
I'm not sure,mamt2akadch,مامتأكادش 
Your coffee's not bad,98iwtk makhaybach,قهيوتك ماخايباش 
I also asked for an orange juice,kifma tlabt 3aSir limon,كيفما تلابت عاصير ليمون 
"Oh yes, sorry I forgot.","oh ah, sma7 liya nsit","أُه أه, سماح لييا نسيت "
"Here's your bill, it comes to 15 dhs","hahiya fatora dyalk, waslat 15 dhs","هاهييا فاتورا ديالك, واسلات 15 دهس "
"Hey, it's my birthday","ahya, rah 3id miladi","أهيا, راه عيد ميلادي "
Don't you want to help me set something up?,mabghitich t3awni n9ad chi 7aja?,مابغيتيش تعاوني نقاد شي حاجا? 
"I said I would, didn't I?","galt bila ghadi ndir, kayna?","ڭالت بيلا غادي ندير, كاينا? "
So here I am,ewa hani,إوا هاني 
What do you want me to do?,ach bghitini ndir?,أش بغيتيني ندير? 
I was thinking about doing this next Saturday,kant kanfakar ndirha nhar sabt jay,كانت كانفاكار نديرها نهار سابت جاي 
Maybe a restaurant?,imkn maT3am?,إمكن ماطعام? 
Oh,oh,أُه 
I thought it was today,kan ys7ab liya lyoum,كان يسحاب لييا ليوم 
I'm busy Saturday,an machghol sabt,أن ماشغول سابت 
That's a problem,hadi mochkila,هادي موشكيلا 
That's a problem,hada mochkil,هادا موشكيل 
"Oh, man.",awdiii,أوديّي 
"My birthday is today, but I thought there'd be more people on the weekends","3id miladi lyoum, walakin kanDn ghdi ykon bzaf dyal bnadam f 3oTla dyal nihaya osbo3","عيد ميلادي ليوم, والاكين كانضن غدي يكون بزاف ديال بنادام ف عوطلا ديال نيهايا أُسبوع "
Can we reschedule for Sunday?,wach n9adro n3awdo n7addo maw3id nhar l7ad?,واش نقادرو نعاودو نحادّو ماوعيد نهار لحاد? 
Well as we've not scheduled the party yet we don't have to reschedule it,ewa mlli mazal mazggina l7afla maghadich ikhssna n3awdo nzggiw,إوا ملّي مازال مازڭّينا لحافلا ماغاديش إخسّنا نعاودو نزڭّيو 
We can just invite people on the Sunday,n9adro ghir n3ardo 3la nas nhar l7ad,نقادرو غير نعاردو علا ناس نهار لحاد 
Do you have a favourite restaurant?,wach 3andak chi maT3am mofaDal?,واش عانداك شي ماطعام موفاضال? 
Oh and are you paying for everything?,oh wach katkhals kolchi?,أُه واش كاتخالس كولشي? 
Do you know a good one?,wach kat3raf chi fikra mazyana?,واش كاتعراف شي فيكرا مازيانا? 
It's not too expensive in general,rah maghalyach bzaf 3adatan,راه ماغالياش بزاف عاداتان 
There's that new Italian place,kayn dak lblasa talyaniya jdida,كاين داك لبلاسا تاليانييا جديدا 
I'm not clear about who's paying,ma3raftch chkon ghadi ykhalas,ماعرافتش شكون غادي يخالاس 
Do you want your guests to pay for their own meal or will you pay for eveything?,wach bghiti Doyof dyalk ykhalso maklthom wla ghadi tkhalas nta kolchi?,واش بغيتي ضويوف ديالك يخالسو ماكلتهوم ولا غادي تخالاس نتا كولشي? 
